Country,Clicks,Impressions,CTR,Position
United States,21,6977,0.003,33.34
Philippines,1,48,0.0208,27.92
Australia,1,5,0.2,30.2
Russia,0,126,0.0,19.2
India,0,53,0.0,35.75
Indonesia,0,52,0.0,29.29
Brazil,0,50,0.0,22.9
Vietnam,0,44,0.0,27.61
Ukraine,0,38,0.0,30.53
Canada,0,37,0.0,11.11
Mexico,0,36,0.0,30.14
United Kingdom,0,30,0.0,35.33
Argentina,0,29,0.0,26.55
Thailand,0,24,0.0,29.12
Germany,0,22,0.0,23.77
Egypt,0,20,0.0,29.25
Pakistan,0,19,0.0,37.16
Colombia,0,14,0.0,24.43
Spain,0,13,0.0,11.69
Taiwan,0,13,0.0,19.69
United Arab Emirates,0,12,0.0,37.92
Malaysia,0,11,0.0,29.73
France,0,11,0.0,31.55
Morocco,0,10,0.0,17.8
Peru,0,10,0.0,20.4
Japan,0,10,0.0,32.1
Poland,0,10,0.0,44.5
Bangladesh,0,9,0.0,32.89
Hungary,0,9,0.0,33.0
Algeria,0,9,0.0,37.0
Saudi Arabia,0,8,0.0,26.12
Bulgaria,0,8,0.0,27.12
Romania,0,8,0.0,38.75
Netherlands,0,7,0.0,18.71
Unknown Region,0,7,0.0,25.14
South Africa,0,7,0.0,26.29
Chile,0,7,0.0,26.57
Uruguay,0,6,0.0,21.33
Bolivia,0,6,0.0,23.83
Venezuela,0,6,0.0,26.33
Czechia,0,6,0.0,33.17
Turkey,0,6,0.0,37.33
Kazakhstan,0,6,0.0,40.0
Trinidad & Tobago,0,6,0.0,52.33
Sri Lanka,0,5,0.0,20.2
Italy,0,5,0.0,21.0
South Korea,0,5,0.0,33.8
Portugal,0,5,0.0,54.0
Iraq,0,4,0.0,17.25
Croatia,0,4,0.0,21.75
Denmark,0,4,0.0,22.0
Latvia,0,4,0.0,24.25
Belize,0,4,0.0,38.25
Ghana,0,4,0.0,38.25
Jordan,0,3,0.0,7.67
Lithuania,0,3,0.0,13.33
Côte d’Ivoire,0,3,0.0,15.33
Israel,0,3,0.0,15.67
Ecuador,0,3,0.0,18.67
Macedonia,0,3,0.0,26.33
Dominican Republic,0,3,0.0,30.67
Moldova,0,3,0.0,33.33
Nepal,0,3,0.0,34.0
Azerbaijan,0,3,0.0,39.33
Paraguay,0,3,0.0,40.67
Armenia,0,3,0.0,42.0
China,0,2,0.0,1.0
Hong Kong,0,2,0.0,1.0
Tajikistan,0,2,0.0,7.0
Mali,0,2,0.0,13.5
Georgia,0,2,0.0,14.5
Laos,0,2,0.0,15.0
Syria,0,2,0.0,19.5
Myanmar (Burma),0,2,0.0,20.0
Iran,0,2,0.0,20.5
Cuba,0,2,0.0,21.0
Slovakia,0,2,0.0,21.0
New Zealand,0,2,0.0,22.5
Ethiopia,0,2,0.0,26.5
Singapore,0,2,0.0,31.0
Serbia,0,2,0.0,35.5
Panama,0,2,0.0,36.0
Sweden,0,2,0.0,38.0
Bosnia & Herzegovina,0,2,0.0,39.5
Guatemala,0,2,0.0,40.5
Kenya,0,2,0.0,46.5
Kosovo,0,2,0.0,53.0
Macau,0,2,0.0,57.5
Ireland,0,1,0.0,1.0
Norway,0,1,0.0,1.0
Senegal,0,1,0.0,1.0
Cyprus,0,1,0.0,11.0
Cameroon,0,1,0.0,14.0
Guadeloupe,0,1,0.0,18.0
Jamaica,0,1,0.0,21.0
Tanzania,0,1,0.0,24.0
Yemen,0,1,0.0,24.0
Switzerland,0,1,0.0,26.0
Cambodia,0,1,0.0,28.0
Burundi,0,1,0.0,30.0
Afghanistan,0,1,0.0,32.0
Réunion,0,1,0.0,35.0
El Salvador,0,1,0.0,35.0
Palestine,0,1,0.0,36.0
Puerto Rico,0,1,0.0,37.0
Martinique,0,1,0.0,39.0
U.S. Virgin Islands,0,1,0.0,46.0
Slovenia,0,1,0.0,48.0
Uganda,0,1,0.0,51.0
Togo,0,1,0.0,57.0
Mongolia,0,1,0.0,58.0
Zambia,0,1,0.0,66.0
Tunisia,0,1,0.0,71.0
Costa Rica,0,1,0.0,78.0
