Date,Clicks,Impressions,CTR,Position
2026-04-29,0.0,138.0,0.0,21.5
2026-04-30,0.0,110.0,0.0,26.3
2026-05-01,2.0,105.0,0.019,15.5
2026-05-02,0.0,98.0,0.0,24.8
2026-05-03,0.0,127.0,0.0,24.4
2026-05-04,0.0,109.0,0.0,25.8
2026-05-05,0.0,163.0,0.0,24.2
2026-05-06,0.0,92.0,0.0,22.7
2026-05-07,1.0,154.0,0.006500000000000001,28.5
2026-05-08,0.0,143.0,0.0,29.8
2026-05-09,0.0,135.0,0.0,26.7
2026-05-10,1.0,108.0,0.009300000000000001,27.5
2026-05-11,0.0,145.0,0.0,27.7
2026-05-12,0.0,104.0,0.0,27.2
2026-05-13,0.0,148.0,0.0,28.9
2026-05-14,0.0,92.0,0.0,30.8
2026-05-15,0.0,63.0,0.0,32.4
2026-05-16,0.0,49.0,0.0,37.7
2026-05-17,0.0,138.0,0.0,37.9
2026-05-18,2.0,62.0,0.0323,30.8
2026-05-19,0.0,52.0,0.0,44.7
2026-05-20,1.0,62.0,0.0161,35.5
2026-05-21,0.0,72.0,0.0,46.1
2026-05-22,0.0,50.0,0.0,40.6
2026-05-23,0.0,45.0,0.0,38.9
2026-05-24,0.0,57.0,0.0,44.8
2026-05-25,0.0,55.0,0.0,45.7
2026-05-26,0.0,68.0,0.0,45.3
2026-05-27,0.0,63.0,0.0,44.1
2026-05-28,0.0,47.0,0.0,48.6
2026-05-29,0.0,54.0,0.0,39.9
2026-05-30,0.0,56.0,0.0,38.5
2026-05-31,0.0,66.0,0.0,42.7
2026-06-01,0.0,63.0,0.0,43.4
2026-06-02,1.0,25.0,0.04,31.5
2026-06-03,0.0,44.0,0.0,42.5
2026-06-04,0.0,22.0,0.0,46.2
2026-06-05,0.0,32.0,0.0,39.0
2026-06-06,1.0,43.0,0.0233,42.3
2026-06-07,0.0,52.0,0.0,46.2
2026-06-08,0.0,79.0,0.0,45.1
2026-06-09,0.0,91.0,0.0,41.0
2026-06-10,0.0,54.0,0.0,40.2
2026-06-11,0.0,44.0,0.0,31.8
2026-06-12,0.0,85.0,0.0,37.4
2026-06-13,2.0,70.0,0.0286,44.6
2026-06-14,0.0,178.0,0.0,27.7
2026-06-15,0.0,97.0,0.0,37.8
2026-06-16,0.0,67.0,0.0,40.5
2026-06-17,0.0,64.0,0.0,41.0
2026-06-18,0.0,64.0,0.0,44.1
2026-06-19,0.0,40.0,0.0,35.0
2026-06-20,0.0,46.0,0.0,42.7
2026-06-21,0.0,56.0,0.0,42.3
2026-06-22,0.0,106.0,0.0,39.0
2026-06-23,1.0,51.0,0.0196,39.2
2026-06-24,0.0,91.0,0.0,37.7
2026-06-25,2.0,45.0,0.0444,36.0
2026-06-26,0.0,86.0,0.0,40.8
2026-06-27,0.0,51.0,0.0,42.1
2026-06-28,0.0,99.0,0.0,40.8
2026-06-29,0.0,137.0,0.0,29.2
2026-06-30,0.0,57.0,0.0,41.1
2026-07-01,0.0,73.0,0.0,39.4
2026-07-02,0.0,149.0,0.0,49.8
2026-07-03,0.0,48.0,0.0,36.6
2026-07-04,1.0,40.0,0.025,34.1
2026-07-05,0.0,84.0,0.0,44.2
2026-07-06,1.0,64.0,0.015600000000000001,35.3
2026-07-07,0.0,36.0,0.0,28.7
2026-07-08,0.0,78.0,0.0,28.3
2026-07-09,1.0,52.0,0.0192,24.9
2026-07-10,0.0,74.0,0.0,27.6
2026-07-11,0.0,62.0,0.0,33.4
2026-07-12,0.0,68.0,0.0,31.5
2026-07-13,1.0,58.0,0.0172,35.9
2026-07-14,1.0,58.0,0.0172,29.0
2026-07-15,1.0,52.0,0.0192,30.7
2026-07-16,0.0,45.0,0.0,24.8
2026-07-17,0.0,41.0,0.0,35.4
2026-07-18,0.0,34.0,0.0,25.1
2026-07-19,0.0,86.0,0.0,33.3
2026-07-20,2.0,80.0,0.025,22.3
2026-07-21,0.0,51.0,0.0,22.5
2026-07-22,0.0,47.0,0.0,25.6
2026-07-23,1.0,58.0,0.0172,24.1
2026-07-24,0.0,91.0,0.0,29.6
2026-07-25,0.0,74.0,0.0,30.0
2026-07-26,0.0,89.0,0.0,28.7
2026-07-27,0.0,98.0,0.0,30.1
2026-07-28,0.0,69.0,0.0,28.4
